time,position,ref
28.5,-0.00401759,1.517419546
28.53333333,-0.00401759,1.517419546
28.56666667,-0.003712116,1.527500178
28.6,-0.003494565,1.534679339
28.63333333,-0.003277675,1.541836709
28.66666667,-0.003060785,1.548994079
28.7,-0.003060785,1.548994079
28.73333333,-0.002878481,1.555010127
28.76666667,-0.002600499,1.564183522
28.8,-0.002416233,1.570264308
28.83333333,-0.002231967,1.576345094
28.86666667,-0.002231967,1.576345094
28.9,-0.002231967,1.576345094
28.93333333,-0.002222062,1.576671939
28.96666667,-0.002116231,1.58016439
29,-0.001968247,1.585047846
29.03333333,-0.00194268,1.585891555
29.06666667,-0.001915265,1.586796262
29.1,-0.001848297,1.589006195
29.13333333,-0.001774032,1.591456958
29.16666667,-0.001658694,1.595263093
29.2,-0.001658694,1.595263093
29.23333333,-0.001552017,1.598783438
29.26666667,-0.001415506,1.603288316
29.3,-0.001266648,1.608200621
29.33333333,-0.001046182,1.615476007
29.36666667,-0.001031074,1.615974555
29.4,-0.000995964,1.617133174
29.43333333,-0.00094625,1.618773764
29.46666667,-0.000887624,1.620708412
29.5,-0.000817463,1.62302373
29.53333333,-0.000817463,1.62302373
29.56666667,-0.000553754,1.631726132
29.6,-6.84E-05,1.647743282
29.63333333,0.000634612,1.670942198
29.66666667,0.001522153,1.700231052
29.7,0.001522153,1.700231052
29.73333333,0.001765604,1.70826492
29.76666667,0.002281452,1.725287922
29.8,0.003056907,1.750877926
29.83333333,0.004106398,1.785511134
29.86666667,0.004359854,1.793875177
29.9,0.004938477,1.812969742
29.93333333,0.005838272,1.842662976
29.96666667,0.006953019,1.879449636
30,0.008374555,1.926360319
30.03333333,0.008809006,1.940697205
30.06666667,0.009645556,1.968303358
30.1,0.010908706,2.009987283
30.13333333,0.012374154,2.058347096
30.16666667,0.013980716,2.111363621
30.2,0.014398634,2.12515492
30.23333333,0.015280003,2.154240086
30.26666667,0.016209897,2.184926595
30.3,0.017165888,2.216474302
30.33333333,0.018086685,2.246860608
30.36666667,0.018369426,2.256191071
30.4,0.018949497,2.275333401
30.43333333,0.019583777,2.296264642
30.46666667,0.020381692,2.322595822
30.5,0.021103431,2.346413235
30.53333333,0.021325359,2.353736838
30.56666667,0.021600504,2.362816627
30.6,0.021989873,2.375665802
30.63333333,0.022339485,2.387202997
30.66666667,0.022566848,2.394705976
30.7,0.022627785,2.396716899
30.73333333,0.022677953,2.39837244
30.76666667,0.022731921,2.400153405
30.8,0.022882381,2.405118562
30.83333333,0.023180736,2.414964295
30.86666667,0.023400904,2.422229848
30.9,0.02372138,2.432805547
30.93333333,0.024169212,2.447584012
30.96666667,0.024681285,2.464482412
31,0.025172175,2.480681769
31.03333333,0.02529707,2.484803301
31.06666667,0.025457386,2.490093723
31.1,0.025640228,2.49612754
31.13333333,0.02583548,2.502570834
31.16666667,0.025976396,2.507221067
31.2,0.025984833,2.507499495
31.23333333,0.026004037,2.508133224
31.26666667,0.026055409,2.509828509
31.3,0.026102825,2.511393218
31.33333333,0.026167242,2.513518989
31.36666667,0.02618239,2.514018885
31.4,0.026210889,2.514959339
31.43333333,0.026254955,2.516413501
31.46666667,0.026278377,2.51718645
31.5,0.02630639,2.518110876
31.53333333,0.026295752,2.517759803
31.56666667,0.026252427,2.516330085
31.6,0.026157265,2.513189751
31.63333333,0.026051384,2.509695681
31.66666667,0.025940133,2.506024375
